id,english,russian
B47AD3C84E6438EA23D51586D04EEE00#80AEEB90,"

















...NOT a joke alright? I hope this piece will reach your destination, best of...","

















...НЕ шутка, ясно? Я надеюсь, что это послание дойдет до вас, всего наилу..."
5C402B1B4994A289B01829BA70BBB783#AB88075D,"







...metal pipe, look in the [metal] pile under my workstation, you should find something as a tube substitute, and make...","







...металлическая труба, посмотрите в куче [металла] под моим рабочим местом, вы должны найти что-нибудь в качестве замены трубы, и сделайте..."
C3189FE949FB585722AD398FCAE5569B#5F382880,"





if you hear music in a forest - run","





Если вы услышите музыку в лесу - бегите"
3A2E1356452178BE8BCB3E9776E538C5#BA9C67F6,"


...this shit is ridiculous, we told you pack everything and leave ASAP, but you would not do...








..and buy as much [gas] as possible, you got it? It is easier to get and we do not have much time, use [bottles] to pour the right amount. After all it is...","


...Это дерьмо смешно, мы говорили тебе собрать все вещи и уехать как можно скорее, но ты не сделал этого....








..и купите как можно больше [топлива], поняли? Его легче достать, а у нас мало времени, используйте [бутылки], чтобы налить нужное количество. В конце концов, это..."
33642F334F26C95CE248048DC84A3BBF#6D311814,"

..seal with [plastic], look at the scrap pile again, right next to my table in the workshop...







...improve, by [gluing] together an [electronic] part to the tube, fix it with [plastic], and strap it to the tube...","

..заклеиваю [пластиком], еще раз смотрю на кучу металлолома, прямо рядом с моим столом в мастерской...







...improve, by [gluing] together an [electronic] part to the tube, fix it with [plastic], and strap it to the tube..."
80FC63E94AB6FC869477E7B0FCD8E60A#C19A521B,"
-end_data","
-end_data"
6657C2104A4800583A5F528CB147A7D8#1B46165D,"
Charging...","
Charging..."
6183140240EFBEF1EA5067BBBE8405E6#0358B07B,"
Reward: 25 points for each server","
Награда: 25 очков за каждый сервер"
1F8D279B43FFEAAF82B30ABA6A69F776#FAF27A47,"
Soap uses: {s}",Использование мыла: {s}
AB86F8464B3E2122C8223FBDDEE3FAB8#CE76D495,"
Tapes: 
- {tapeTop}
- {tapeBottom}
{tapeRes}
","Ленты: 
- {tapeTop}
- {tapeBottom}
{tapeRes}"
FA7C169745520077C1BDD9866467D9B4#B818FDE0,"
There are no tapes in the package, please provide us with tape information.
","В упаковке нет лент, пожалуйста, предоставьте нам информацию о ленте."
865B2A294B1463DB37DF05A72D7E45DA#4C2AA283,                                                                                                                                                                                                                                                                                                                                                                                                                                                        come play with me                                                                                                                                            im coming                                                                                                                                           wait for me                                                                                                                                            :)                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                        поиграй со мной                                                                                                                                            я иду                                                                                                                                           жди меня                                                                                                                                            :)                                                                                                                                           
1D01C2F74F1CE1C5192D9AA699067AC4#37D788A6,"                 uuuuuuu
             uu$$$$$$$$$$$uu
          uu$$$$$$$$$$$$$$$$$uu
         u$$$$$$$$$$$$$$$$$$$$$u
        u$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$""   ""$$$""   ""$$$$$$u
       ""$$$$""      u$u       $$$$""
        $$$u       u$u       u$$$
        $$$u      u$$$u      u$$$
         ""$$$$uu$$$   $$$uu$$$$""
          ""$$$$$$$""   ""$$$$$$$""
            u$$$$$$$u$$$$$$$u
             u$""$""$""$""$""$""$u
  uuu        $$u$ $ $ $ $u$$       uuu
 u$$$$        $$$$$u$u$u$$$       u$$$$
  $$$$$uu      ""$$$$$$$$$""     uu$$$$$$
u$$$$$$$$$$$uu    """"""""""    uuuu$$$$$$$$$$
$$$$""""""$$$$$$$$$$uuu   uu$$$$$$$$$""""""$$$""
 """"""      """"$$$$$$$$$$$uu """"$""""""
           uuuu """"$$$$$$$$$$uuu
  u$$$uuu$$$$$$$$$uu """"$$$$$$$$$$$uuu$$$
  $$$$$$$$$$""""""""           """"$$$$$$$$$$$""
   ""$$$$$""                      """"$$$$""""
     $$$""                         $$$$""","ууууууу
             уу$$$$$$$$$$$уу
          уу$$$$$$$$$$$$$$$$$$уу
         ты$$$$$$$$$$$$$$$$$$$$$у
        у$$$$$$$$$$$$$$$$$$$$$$$$у
       u$$$$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$$$$$$$$$$$$$$$$$$$$$u
       у$$$$$$"" ""$$$"" ""$$$$$$у
       ""$$$$"" у$у $$$$""
        $$$у у$у у$$$
        $$$у ты$$$у ты$$$
         ""$$$$уу$$$ $$$уу$$$$""
          ""$$$$$$$"" ""$$$$$$$""
            ты$$$$$$$у$$$$$$$у$$$$$$$у
             ты$""$""$""$""$""$""$у
  ууу $$u$ $ $ $ $u$$ ууу
 u$$$$ $$$$$u$u$u$$$ u$$$$
  $$$$$уу ""$$$$$$$$$"" уу$$$$$$
u$$$$$$$$$$$$uu """""""""" uuuu$$$$$$$$$$
$$$$""""""$$$$$$$$$$ууу уу$$$$$$$$$""""""$$$""
 """""" """"$$$$$$$$$$$уу """"$""""""
           уууу """"$$$$$$$$$$ууу
  u$$$uuu$$$$$$$$$uu """"$$$$$$$$$$$uuu$$$
  $$$$$$$$$$"""""""" """"$$$$$$$$$$$""
   ""$$$$$"" ""$$$$""""
     $$$"" $$$$"""
B8E615EA4C0A7FE4238EA1B403860BE5#37D788A6,"                 uuuuuuu
             uu$$$$$$$$$$$uu
          uu$$$$$$$$$$$$$$$$$uu
         u$$$$$$$$$$$$$$$$$$$$$u
        u$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$""   ""$$$""   ""$$$$$$u
       ""$$$$""      u$u       $$$$""
        $$$u       u$u       u$$$
        $$$u      u$$$u      u$$$
         ""$$$$uu$$$   $$$uu$$$$""
          ""$$$$$$$""   ""$$$$$$$""
            u$$$$$$$u$$$$$$$u
             u$""$""$""$""$""$""$u
  uuu        $$u$ $ $ $ $u$$       uuu
 u$$$$        $$$$$u$u$u$$$       u$$$$
  $$$$$uu      ""$$$$$$$$$""     uu$$$$$$
u$$$$$$$$$$$uu    """"""""""    uuuu$$$$$$$$$$
$$$$""""""$$$$$$$$$$uuu   uu$$$$$$$$$""""""$$$""
 """"""      """"$$$$$$$$$$$uu """"$""""""
           uuuu """"$$$$$$$$$$uuu
  u$$$uuu$$$$$$$$$uu """"$$$$$$$$$$$uuu$$$
  $$$$$$$$$$""""""""           """"$$$$$$$$$$$""
   ""$$$$$""                      """"$$$$""""
     $$$""                         $$$$""","                 uuuuuuu
             uu$$$$$$$$$$$uu
          uu$$$$$$$$$$$$$$$$$uu
         u$$$$$$$$$$$$$$$$$$$$$u
        u$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$$$$$$$$$$$$$$$$$$$$u
       u$$$$$$""   ""$$$""   ""$$$$$$u
       ""$$$$""      u$u       $$$$""
        $$$u       u$u       u$$$
        $$$u      u$$$u      u$$$
         ""$$$$uu$$$   $$$uu$$$$""
          ""$$$$$$$""   ""$$$$$$$""
            u$$$$$$$u$$$$$$$u
             u$""$""$""$""$""$""$u
  uuu        $$u$ $ $ $ $u$$       uuu
 u$$$$        $$$$$u$u$u$$$       u$$$$
  $$$$$uu      ""$$$$$$$$$""     uu$$$$$$
u$$$$$$$$$$$uu    """"""""""    uuuu$$$$$$$$$$
$$$$""""""$$$$$$$$$$uuu   uu$$$$$$$$$""""""$$$""
 """"""      """"$$$$$$$$$$$uu """"$""""""
           uuuu """"$$$$$$$$$$uuu
  u$$$uuu$$$$$$$$$uu """"$$$$$$$$$$$uuu$$$
  $$$$$$$$$$""""""""           """"$$$$$$$$$$$""
   ""$$$$$""                      """"$$$$""""
     $$$""                         $$$$"""
2C2A4D5544CA7E72685CE5ACE398C08C#978138B4,"       ""William The Protector""

|    And may the hungry be fed...   |
|  ...may the weak be defended...   |
| ...and my enemies shall perish.   |

|  In the memory of the great one.  |
|     The one who protects us.      |","       ""Уильям Защитник""

|    И да будут сыты голодные...     |
|  ...да будут защищены слабые...    |
| ...и да погибнут мои враги.        |

|       В память о великом.          |
|     О том, кто защищает нас.       |"
6C2C56EA4B74EB06A8CA94A050F9F363#69C1C418,"  signals of level 0
","  сигналов уровня 0
"
2BA27BBD4FDBB9E2B5F009BBFBF20F99#F2648877,"  signals of level 1
","  сигналов уровня 1
"
946F5D384D000E960AA33480DD72450C#85FA5A87,"  signals of level 2
","  сигналов уровня 2
"
51B67E604CBABEE841EC339757F6E250#1E5F16E8,"  signals of level 3
","  сигналов уровня 3
"
E5CE69C94AE887E4818295BAB3D657BF#55776D95, - X{amount} |{item}|: for {points} points,- X{amount} |{item}|: для очков {points}
0C94366D4D2CFE0D7E402BB6643DE4F9#CE6E8F46, [MAIN], [ОСНОВНОЕ]
9A8C0EF34BC54D488B2940989B4ABD1F#CA802D88, | {a}/{b},| {a}/{b}
ABCF1D6E4E22DCB1E344CB9FCA408E6A#65D501AB,!!!Automatic Alert System!!!,!!!Автоматическая система оповещения!!!
2A5B35B84D5ED330495B3E8ACDC1D671#6BC920F5,!DOWN!,!ВНИЗ!
2DDEC1A04CFA35453550E88F59961313#560FFF56,"""Berd"" award plushie","Наградной плюшевый мишка ""Берд"""
00F7B61D46EAF3C454E0B1BA00AA4E75#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
349C9D2F4EA31F887051739235E9F17C#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
96D031034138FA522B6DF5BE59DB5A6E#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
A4081D774C355BE0A54200989F31DBFE#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
AC61379A41B33A244EF23DBA9B7E5847#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
